Serial Number,WF5141158
Sample ID,00058
Start Time,2023-09-18 19:21:19 UTC
Duration,0:10:16
Total Volume (l),5.31
Distance (m),156
Peak Pressure (psi),12.2
Avg Flow (l/min),0.5
Avg Rate (mL/m),50.6
Avg Speed (m/s),0.3


Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (±m),Status
0,0.00,0.16,0.00,0.00,1.54,42.143058,-80.125438,171.6,2.8,
2,0.01,1.78,0.24,2.76,1.45,42.143044,-80.125456,171.7,2.8,
4,0.03,0.71,0.43,5.34,1.34,42.143033,-80.125470,171.7,2.8,
6,0.04,1.01,0.32,4.38,1.22,42.143023,-80.125479,171.5,2.8,
8,0.04,1.78,0.21,3.24,1.08,42.143016,-80.125483,171.2,2.8,
10,0.04,3.90,0.07,1.24,0.94,42.143008,-80.125486,170.6,3.1,
12,0.04,4.33,0.02,0.40,0.83,42.142999,-80.125490,170.7,3.1,
14,0.04,4.63,0.01,0.22,0.74,42.142989,-80.125497,170.8,3.1,
16,0.05,6.01,0.18,4.43,0.68,42.142978,-80.125506,171.1,3.1,
18,0.08,6.61,0.62,16.43,0.63,42.142967,-80.125514,171.2,3.1,
20,0.11,6.28,0.94,26.68,0.59,42.142959,-80.125521,171.3,2.8,
22,0.14,2.11,0.95,29.00,0.55,42.142953,-80.125526,171.5,2.8,
24,0.17,2.95,0.74,23.76,0.52,42.142947,-80.125533,172.1,2.8,
26,0.19,1.92,0.76,25.03,0.51,42.142942,-80.125541,172.6,2.8,
28,0.21,2.08,0.69,23.05,0.50,42.142938,-80.125546,172.8,2.8,
30,0.24,2.06,0.69,23.63,0.49,42.142935,-80.125547,172.9,2.8,
32,0.26,2.33,0.60,22.13,0.45,42.142933,-80.125544,172.9,2.8,
34,0.27,3.66,0.48,19.91,0.40,42.142933,-80.125544,172.9,2.8,
36,0.28,4.69,0.28,13.23,0.35,42.142931,-80.125543,173.0,2.8,
58,0.30,2.09,0.11,5.46,0.35,42.142870,-80.125541,170.7,3.4,
60,0.33,1.70,0.70,32.10,0.37,42.142865,-80.125548,171.3,3.0,
62,0.34,1.98,0.53,23.16,0.39,42.142861,-80.125553,171.6,3.0,
64,0.35,2.45,0.25,10.58,0.39,42.142858,-80.125556,172.0,3.0,
66,0.35,3.38,0.10,4.42,0.38,42.142855,-80.125561,172.2,3.0,l
68,0.35,3.92,0.03,1.35,0.37,42.142852,-80.125565,172.3,3.0,lm
70,0.35,3.86,0.01,0.46,0.35,42.142850,-80.125568,172.4,2.8,lm
72,0.35,4.97,0.00,0.00,0.33,42.142847,-80.125569,172.6,2.8,lm
74,0.36,5.99,0.25,12.80,0.31,42.142845,-80.125571,172.7,2.8,
76,0.37,5.42,0.29,16.76,0.27,42.142843,-80.125573,172.8,2.8,
78,0.39,5.05,0.52,35.05,0.22,42.142844,-80.125571,172.5,2.8,
80,0.41,4.95,0.63,51.40,0.19,42.142843,-80.125570,172.4,2.8,
82,0.44,4.81,0.72,69.95,0.16,42.142844,-80.125569,172.3,2.8,
84,0.47,4.70,0.77,89.87,0.14,42.142844,-80.125568,172.2,2.8,
86,0.49,4.84,0.77,96.27,0.13,42.142847,-80.125567,172.2,2.8,
88,0.52,4.69,0.75,99.29,0.12,42.142848,-80.125564,173.3,2.8,
90,0.54,4.72,0.73,99.44,0.13,42.142850,-80.125561,174.2,2.8,
92,0.56,4.52,0.71,93.07,0.13,42.142852,-80.125556,174.5,2.8,
94,0.59,4.61,0.71,88.14,0.14,42.142856,-80.125554,174.8,2.8,
96,0.61,4.44,0.70,77.96,0.17,42.142862,-80.125554,175.2,2.8,
98,0.64,4.72,0.71,65.81,0.19,42.142870,-80.125554,175.3,2.8,
100,0.66,4.65,0.72,57.36,0.22,42.142878,-80.125553,175.6,2.8,
102,0.68,4.60,0.70,49.65,0.25,42.142889,-80.125554,175.5,2.8,
104,0.71,4.78,0.71,45.20,0.27,42.142902,-80.125563,175.5,2.8,
106,0.73,4.25,0.70,41.76,0.29,42.142911,-80.125565,175.4,2.8,
108,0.75,4.54,0.71,41.14,0.29,42.142916,-80.125566,175.3,2.8,
110,0.78,4.71,0.69,38.51,0.30,42.142920,-80.125568,175.7,3.8,
112,0.80,4.30,0.70,38.51,0.30,42.142924,-80.125568,175.8,3.8,
114,0.82,4.81,0.67,36.67,0.30,42.142926,-80.125570,175.6,3.8,
116,0.84,4.96,0.63,35.23,0.29,42.142925,-80.125558,174.0,3.8,
118,0.87,5.58,0.69,41.55,0.27,42.142923,-80.125556,173.7,3.8,
120,0.89,6.11,0.84,54.32,0.25,42.142918,-80.125561,173.6,3.0,
122,0.93,5.63,0.89,62.35,0.23,42.142913,-80.125561,173.1,3.0,
124,0.95,2.24,0.83,63.24,0.21,42.142914,-80.125562,172.7,3.0,
126,0.98,4.05,0.72,59.32,0.20,42.142916,-80.125561,172.5,3.0,
128,1.00,2.91,0.72,63.09,0.18,42.142919,-80.125560,172.4,3.0,
130,1.02,3.71,0.69,66.78,0.16,42.142921,-80.125561,172.4,2.8,
132,1.05,3.09,0.72,77.85,0.15,42.142922,-80.125561,172.4,2.8,
134,1.07,3.64,0.68,81.18,0.13,42.142923,-80.125560,172.3,2.8,
136,1.09,2.94,0.72,92.77,0.12,42.142920,-80.125559,172.3,2.8,
138,1.12,3.70,0.69,93.95,0.12,42.142919,-80.125558,172.1,2.8,
140,1.14,3.38,0.70,99.46,0.11,42.142919,-80.125557,172.1,2.8,
142,1.16,3.82,0.69,105.75,0.11,42.142919,-80.125559,171.9,2.8,
144,1.19,3.46,0.70,115.97,0.09,42.142918,-80.125561,171.8,2.8,
146,1.21,3.75,0.70,133.56,0.08,42.142918,-80.125561,171.6,2.8,
148,1.23,3.56,0.70,151.52,0.08,42.142916,-80.125562,171.5,2.8,
150,1.26,3.68,0.69,141.28,0.08,42.142914,-80.125565,171.3,2.8,
152,1.28,3.59,0.70,135.82,0.09,42.142910,-80.125566,171.1,2.8,
154,1.30,3.90,0.69,133.88,0.09,42.142909,-80.125565,170.8,2.8,
156,1.33,3.89,0.69,123.79,0.10,42.142906,-80.125567,170.7,2.8,
158,1.35,3.89,0.70,117.37,0.10,42.142904,-80.125569,170.6,2.8,
160,1.37,3.94,0.70,111.91,0.11,42.142901,-80.125570,170.4,2.8,
162,1.40,4.02,0.70,104.45,0.12,42.142900,-80.125570,170.2,2.8,
164,1.42,4.19,0.69,92.93,0.13,42.142896,-80.125571,170.0,2.8,
166,1.44,4.00,0.70,83.57,0.15,42.142894,-80.125574,169.9,2.8,
168,1.47,4.02,0.70,76.98,0.15,42.142891,-80.125575,169.9,2.8,
170,1.49,4.09,0.70,77.11,0.15,42.142888,-80.125574,169.9,3.1,
172,1.51,4.12,0.68,75.01,0.15,42.142886,-80.125572,170.0,3.1,
174,1.54,4.38,0.69,74.63,0.15,42.142886,-80.125571,170.0,3.1,
176,1.56,4.08,0.70,77.78,0.15,42.142885,-80.125569,170.1,3.1,
178,1.58,4.16,0.70,82.51,0.14,42.142885,-80.125569,170.2,3.1,
180,1.61,4.18,0.70,87.69,0.13,42.142885,-80.125571,170.4,3.9,
182,1.63,4.13,0.70,92.41,0.12,42.142885,-80.125573,170.5,3.9,
184,1.65,4.35,0.70,105.06,0.10,42.142885,-80.125572,170.6,3.9,
186,1.68,4.36,0.70,120.09,0.09,42.142884,-80.125571,171.1,3.9,
188,1.70,4.04,0.72,141.09,0.08,42.142884,-80.125566,171.3,3.9,
190,1.72,4.61,0.68,145.39,0.07,42.142886,-80.125562,171.6,3.1,
192,1.75,4.67,0.69,157.97,0.07,42.142888,-80.125564,172.1,3.1,
194,1.77,4.35,0.72,161.40,0.08,42.142890,-80.125563,172.3,3.1,
196,1.79,4.46,0.70,158.41,0.07,42.142892,-80.125564,172.4,3.1,
198,1.82,4.55,0.69,152.82,0.07,42.142893,-80.125564,172.8,3.1,
200,1.84,4.53,0.71,151.32,0.08,42.142896,-80.125565,172.9,3.1,
202,1.86,4.63,0.70,126.74,0.10,42.142901,-80.125567,173.0,3.1,
204,1.89,4.72,0.70,96.02,0.14,42.142907,-80.125573,173.2,3.1,
206,1.91,4.84,0.70,75.29,0.17,42.142912,-80.125579,173.4,3.1,
208,1.93,4.98,0.70,63.70,0.19,42.142915,-80.125585,173.5,3.1,
210,1.96,5.05,0.69,56.26,0.21,42.142919,-80.125587,173.4,3.1,
212,1.98,5.09,0.70,53.02,0.22,42.142923,-80.125589,173.2,3.1,
214,2.00,4.98,0.70,50.99,0.23,42.142927,-80.125591,173.2,3.1,
216,2.03,5.02,0.70,48.88,0.24,42.142933,-80.125592,172.9,3.1,
218,2.05,5.37,0.69,46.94,0.25,42.142936,-80.125593,172.9,3.1,
220,2.07,5.07,0.71,47.24,0.25,42.142939,-80.125592,172.8,3.1,
222,2.09,5.50,0.68,46.42,0.24,42.142941,-80.125591,172.7,3.1,
224,2.12,4.98,0.71,52.51,0.21,42.142942,-80.125589,172.5,3.1,
226,2.14,5.43,0.69,57.24,0.19,42.142943,-80.125588,172.4,3.1,
228,2.17,5.18,0.71,63.71,0.18,42.142943,-80.125587,172.3,3.1,
230,2.19,5.92,0.67,64.01,0.16,42.142944,-80.125586,172.0,3.1,
232,2.21,5.51,0.72,76.58,0.15,42.142943,-80.125587,172.0,3.1,
234,2.24,5.21,0.71,84.04,0.13,42.142943,-80.125588,171.8,3.1,
236,2.26,5.45,0.68,87.92,0.13,42.142943,-80.125588,171.7,3.1,
238,2.28,5.71,0.70,95.47,0.12,42.142943,-80.125588,171.5,3.1,
240,2.31,5.54,0.70,102.16,0.11,42.142944,-80.125587,171.3,3.1,
242,2.33,5.89,0.71,106.80,0.11,42.142944,-80.125586,171.4,3.1,
244,2.35,6.01,0.69,105.22,0.11,42.142943,-80.125585,171.5,3.1,
246,2.38,5.91,0.71,110.44,0.11,42.142943,-80.125583,171.3,3.1,
248,2.40,5.64,0.69,110.79,0.10,42.142943,-80.125581,171.2,3.1,
250,2.42,6.39,0.70,115.23,0.11,42.142944,-80.125578,171.1,3.1,
252,2.45,6.17,0.67,104.22,0.11,42.142943,-80.125579,171.4,3.1,
254,2.47,6.33,0.72,105.63,0.12,42.142941,-80.125583,171.7,3.1,
256,2.49,5.75,0.71,85.53,0.15,42.142938,-80.125592,172.1,3.1,
258,2.52,5.80,0.70,71.44,0.18,42.142935,-80.125599,172.3,3.1,
260,2.54,6.62,0.69,61.19,0.20,42.142932,-80.125607,172.6,3.1,
262,2.56,6.27,0.70,55.87,0.22,42.142929,-80.125614,172.9,3.1,
264,2.59,6.44,0.70,49.56,0.25,42.142925,-80.125622,173.1,3.1,
266,2.61,6.06,0.71,45.69,0.27,42.142921,-80.125629,173.1,3.1,
268,2.63,6.72,0.69,41.54,0.29,42.142917,-80.125635,173.3,3.1,
270,2.66,6.24,0.71,40.41,0.30,42.142915,-80.125639,173.1,3.1,
272,2.68,6.67,0.69,37.76,0.31,42.142912,-80.125643,172.8,3.1,
274,2.70,6.40,0.68,34.97,0.33,42.142907,-80.125651,172.5,3.1,
276,2.73,6.89,0.72,35.86,0.34,42.142902,-80.125659,172.0,3.1,
278,2.75,6.82,0.69,34.11,0.34,42.142897,-80.125665,171.7,3.1,
280,2.77,7.05,0.70,34.55,0.34,42.142892,-80.125671,171.7,3.1,
282,2.80,6.49,0.71,34.76,0.34,42.142887,-80.125674,171.7,3.1,
284,2.82,7.34,0.69,34.34,0.34,42.142880,-80.125680,171.8,3.1,
