Serial Number,WF5141158
Sample ID,00060
Start Time,2023-09-18 20:01:50 UTC
Duration,0:09:23
Total Volume (l),4.93
Distance (m),99
Peak Pressure (psi),12.3
Avg Flow (l/min),0.5
Avg Rate (mL/m),65.6
Avg Speed (m/s),0.2


Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (±m),Status
0,0.00,0.13,0.00,0.00,1.01,42.127518,-80.128932,170.3,2.9,
2,0.00,0.55,0.00,0.00,0.97,42.127522,-80.128948,170.3,2.9,
4,0.00,0.27,0.00,0.00,0.92,42.127524,-80.128962,170.4,2.9,
6,0.00,0.48,0.04,0.78,0.86,42.127525,-80.128974,170.8,2.9,
8,0.01,0.54,0.08,1.68,0.79,42.127526,-80.128985,170.9,2.9,
10,0.01,0.66,0.06,1.37,0.73,42.127526,-80.128999,171.1,2.9,
12,0.01,0.79,0.02,0.50,0.67,42.127528,-80.129011,170.9,2.9,
14,0.01,2.14,0.01,0.27,0.62,42.127533,-80.129023,170.5,2.9,
16,0.01,3.81,0.00,0.00,0.57,42.127537,-80.129035,170.7,2.9,
18,0.01,4.43,0.00,0.00,0.53,42.127538,-80.129044,170.8,2.9,
20,0.01,5.85,0.00,0.00,0.48,42.127541,-80.129052,170.7,2.9,
22,0.02,6.85,0.32,11.91,0.45,42.127543,-80.129059,170.4,2.9,
24,0.05,7.17,0.72,28.16,0.43,42.127545,-80.129068,170.2,2.9,
26,0.09,5.37,1.00,41.42,0.40,42.127547,-80.129076,170.0,2.9,
28,0.12,1.63,0.87,38.13,0.38,42.127549,-80.129082,169.8,2.9,
30,0.14,3.57,0.71,33.11,0.36,42.127550,-80.129086,169.8,2.9,
32,0.16,2.30,0.74,38.21,0.32,42.127551,-80.129089,169.8,2.9,
34,0.18,3.64,0.68,39.84,0.28,42.127551,-80.129091,169.8,2.9,
36,0.21,2.81,0.73,47.99,0.25,42.127551,-80.129093,169.7,2.9,
38,0.23,3.17,0.69,51.30,0.22,42.127550,-80.129095,169.6,2.9,
40,0.26,2.45,0.71,60.70,0.19,42.127550,-80.129096,169.6,2.9,
42,0.28,2.85,0.69,68.90,0.17,42.127546,-80.129099,170.0,2.9,
44,0.30,3.05,0.71,87.46,0.14,42.127545,-80.129096,170.0,2.9,
46,0.33,3.18,0.69,102.50,0.11,42.127543,-80.129094,170.0,2.9,
48,0.35,2.83,0.71,122.12,0.10,42.127543,-80.129091,169.9,2.9,
50,0.37,3.63,0.69,129.14,0.09,42.127542,-80.129082,169.8,2.9,
52,0.40,2.56,0.71,135.78,0.09,42.127540,-80.129069,170.0,2.9,
54,0.42,3.76,0.68,124.95,0.09,42.127540,-80.129060,170.1,2.9,
56,0.44,2.24,0.72,123.97,0.10,42.127540,-80.129052,170.1,2.9,
58,0.47,3.19,0.69,103.00,0.11,42.127539,-80.129045,169.9,2.9,
60,0.49,3.11,0.70,97.87,0.12,42.127540,-80.129043,169.7,2.9,
62,0.51,2.96,0.71,90.82,0.13,42.127543,-80.129046,169.2,2.9,
64,0.54,3.33,0.69,75.66,0.15,42.127547,-80.129054,168.7,2.9,
66,0.56,2.60,0.72,71.94,0.17,42.127549,-80.129060,168.4,2.9,
68,0.58,3.84,0.69,64.64,0.18,42.127551,-80.129065,168.5,2.9,
70,0.61,2.73,0.71,65.47,0.18,42.127557,-80.129070,168.9,2.9,
72,0.63,3.63,0.68,59.09,0.19,42.127560,-80.129076,169.3,2.9,
74,0.65,3.06,0.72,59.20,0.20,42.127564,-80.129083,169.3,2.9,
76,0.68,3.54,0.69,55.35,0.21,42.127567,-80.129088,169.1,2.9,
78,0.70,2.55,0.71,56.96,0.21,42.127570,-80.129092,169.1,2.9,
80,0.72,3.12,0.70,54.56,0.21,42.127573,-80.129095,169.2,2.9,
82,0.75,2.69,0.70,54.79,0.21,42.127576,-80.129098,169.4,2.9,
84,0.77,3.27,0.70,57.86,0.20,42.127579,-80.129100,169.7,2.9,
86,0.79,3.23,0.70,60.37,0.19,42.127583,-80.129100,169.9,2.9,
88,0.82,3.04,0.71,61.33,0.19,42.127588,-80.129101,169.7,2.9,
90,0.84,3.59,0.69,58.38,0.20,42.127591,-80.129105,169.7,2.9,
92,0.86,3.23,0.71,61.46,0.19,42.127594,-80.129108,169.9,2.9,
94,0.89,3.73,0.68,62.31,0.18,42.127598,-80.129110,170.1,2.9,
96,0.91,2.62,0.72,68.07,0.18,42.127602,-80.129111,170.8,2.9,
98,0.93,3.96,0.67,66.00,0.17,42.127605,-80.129111,170.9,2.9,
100,0.96,2.54,0.72,70.18,0.17,42.127609,-80.129110,170.9,2.9,
102,0.98,3.65,0.70,65.88,0.18,42.127614,-80.129110,170.7,2.9,
104,1.00,2.95,0.70,62.67,0.19,42.127618,-80.129113,171.1,2.9,
106,1.03,3.28,0.70,61.23,0.19,42.127620,-80.129115,171.1,2.9,
108,1.05,4.18,0.68,60.98,0.19,42.127623,-80.129115,171.1,2.9,
110,1.07,2.56,0.71,65.78,0.18,42.127625,-80.129115,171.0,2.9,
112,1.10,3.56,0.70,67.57,0.17,42.127626,-80.129116,171.2,2.9,
114,1.12,3.25,0.70,67.85,0.17,42.127627,-80.129116,171.1,2.9,
116,1.14,3.71,0.70,69.26,0.17,42.127623,-80.129112,170.2,2.9,
