Serial Number,WF5141158
Sample ID,00048
Start Time,2023-08-10 13:46:06 UTC
Duration,1:17:43
Total Volume (l),2.12
Distance (m),53
Peak Pressure (psi),6.6
Avg Flow (l/min),0.6
Avg Rate (mL/m),41.0
Avg Speed (m/s),0.3


Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (±m),Status
0,0.00,0.49,0.13,6.19,0.35,41.457631,-82.157965,174.8,3.1,
2,0.00,3.00,0.04,1.91,0.35,41.457636,-82.157958,174.8,3.1,
4,0.00,3.93,0.01,0.48,0.35,41.457640,-82.157951,175.0,3.1,
6,0.00,3.86,0.00,0.00,0.35,41.457644,-82.157944,175.2,3.1,
8,0.01,5.32,0.03,1.46,0.34,41.457648,-82.157937,175.2,3.1,
10,0.04,6.55,0.64,31.32,0.34,41.457653,-82.157930,175.1,3.1,
12,0.07,4.88,0.98,48.02,0.34,41.457657,-82.157923,175.2,3.1,
14,0.10,2.03,0.90,44.31,0.34,41.457661,-82.157917,175.1,3.1,
16,0.12,3.46,0.73,35.95,0.34,41.457665,-82.157910,175.1,3.1,
18,0.15,2.25,0.75,36.75,0.34,41.457670,-82.157903,175.2,3.1,
20,0.17,3.21,0.69,34.41,0.33,41.457674,-82.157897,175.0,3.1,
22,0.20,2.29,0.71,35.65,0.33,41.457677,-82.157891,174.9,3.1,
24,0.22,2.58,0.71,35.79,0.33,41.457681,-82.157885,174.6,3.1,
26,0.24,2.62,0.70,35.66,0.33,41.457685,-82.157879,174.4,3.1,
28,0.27,1.99,0.71,36.50,0.32,41.457689,-82.157873,174.2,3.1,
30,0.29,1.84,0.70,36.54,0.32,41.457692,-82.157867,174.1,3.1,
32,0.31,2.79,0.70,37.15,0.31,41.457696,-82.157861,174.1,3.1,
34,0.34,2.05,0.69,37.23,0.31,41.457699,-82.157855,174.1,3.1,
36,0.36,2.13,0.71,39.22,0.30,41.457702,-82.157849,174.1,3.1,
38,0.38,2.82,0.70,40.07,0.29,41.457705,-82.157843,174.0,3.0,
40,0.41,2.43,0.70,40.48,0.29,41.457708,-82.157837,174.1,3.0,
42,0.43,1.95,0.70,41.01,0.28,41.457712,-82.157832,174.0,3.0,
44,0.45,1.96,0.70,41.15,0.28,41.457715,-82.157826,174.1,3.0,
46,0.48,2.76,0.70,41.61,0.28,41.457718,-82.157821,174.2,3.0,
48,0.50,1.99,0.69,41.40,0.28,41.457721,-82.157816,174.0,3.0,
50,0.52,2.00,0.71,42.98,0.28,41.457725,-82.157811,174.0,3.0,
52,0.55,2.45,0.70,42.86,0.27,41.457728,-82.157805,174.0,3.0,
54,0.57,2.27,0.70,43.10,0.27,41.457731,-82.157800,174.0,3.0,
56,0.59,1.98,0.70,43.40,0.27,41.457734,-82.157794,174.0,3.0,
58,0.62,2.57,0.70,43.60,0.27,41.457738,-82.157788,173.7,3.0,
60,0.64,2.22,0.70,43.78,0.27,41.457741,-82.157781,173.4,3.0,
62,0.66,2.71,0.70,44.01,0.27,41.457744,-82.157775,173.3,3.0,
64,0.69,2.12,0.70,44.27,0.26,41.457746,-82.157769,173.2,3.0,
66,0.71,2.22,0.70,44.29,0.26,41.457749,-82.157762,173.1,3.0,
68,0.74,2.87,0.69,43.76,0.26,41.457751,-82.157756,172.8,3.0,
70,0.76,2.89,0.70,44.51,0.26,41.457753,-82.157749,172.7,3.0,
72,0.78,2.93,0.70,44.62,0.26,41.457755,-82.157742,172.6,3.0,
74,0.81,2.05,0.70,44.64,0.26,41.457757,-82.157736,172.5,3.0,
76,0.83,2.83,0.70,44.57,0.26,41.457759,-82.157730,172.3,3.0,
78,0.85,2.87,0.70,44.55,0.26,41.457760,-82.157724,172.3,3.0,
80,0.88,2.10,0.71,44.94,0.26,41.457762,-82.157718,172.2,3.0,
82,0.90,2.64,0.70,43.85,0.27,41.457764,-82.157711,172.1,3.0,
84,0.92,2.96,0.70,43.44,0.27,41.457766,-82.157704,172.0,3.0,
86,0.95,2.23,0.70,43.14,0.27,41.457767,-82.157698,171.9,3.0,
88,0.97,2.14,0.70,42.78,0.27,41.457770,-82.157691,171.8,3.0,
90,0.99,2.32,0.70,42.36,0.28,41.457772,-82.157686,171.6,3.0,
92,1.02,2.17,0.70,42.06,0.28,41.457775,-82.157680,171.5,3.0,
94,1.04,2.96,0.70,41.97,0.28,41.457782,-82.157677,171.6,3.0,
96,1.06,2.98,0.70,41.46,0.28,41.457786,-82.157670,171.6,3.0,
98,1.09,2.06,0.70,41.45,0.28,41.457788,-82.157663,171.7,3.0,
100,1.11,2.45,0.70,41.60,0.28,41.457789,-82.157657,171.6,3.0,
102,1.13,2.32,0.70,42.04,0.28,41.457788,-82.157652,171.7,3.0,
104,1.16,3.06,0.70,42.48,0.27,41.457788,-82.157646,171.7,3.0,
106,1.18,2.50,0.70,42.88,0.27,41.457790,-82.157641,171.9,3.0,
108,1.20,2.36,0.70,43.18,0.27,41.457791,-82.157635,172.3,3.2,
110,1.23,2.37,0.70,43.73,0.27,41.457792,-82.157630,172.8,3.2,
112,1.25,2.88,0.70,44.50,0.26,41.457793,-82.157625,172.7,3.2,
114,1.27,3.11,0.70,45.06,0.26,41.457794,-82.157619,172.3,3.2,
116,1.30,3.17,0.70,46.31,0.25,41.457795,-82.157614,171.9,3.2,
118,1.32,2.26,0.70,47.17,0.25,41.457796,-82.157608,171.5,3.2,
120,1.34,2.10,0.70,47.96,0.24,41.457796,-82.157601,171.2,3.2,
122,1.37,2.85,0.70,48.69,0.24,41.457797,-82.157594,170.9,3.2,
124,1.39,2.38,0.70,49.07,0.24,41.457797,-82.157589,170.8,3.2,
126,1.41,2.41,0.70,49.84,0.23,41.457797,-82.157584,170.7,3.2,
128,1.44,2.83,0.70,50.87,0.23,41.457797,-82.157579,170.7,3.1,
130,1.46,3.04,0.71,52.52,0.23,41.457796,-82.157573,170.6,3.1,
132,1.48,2.67,0.70,52.01,0.22,41.457795,-82.157568,170.6,3.1,
134,1.51,2.48,0.70,52.23,0.22,41.457794,-82.157562,170.6,3.1,
136,1.53,2.61,0.70,52.03,0.22,41.457792,-82.157556,170.5,3.1,
138,1.55,2.44,0.70,52.27,0.22,41.457793,-82.157551,170.5,3.1,
140,1.58,2.76,0.70,52.40,0.22,41.457793,-82.157546,170.6,3.1,
142,1.60,3.09,0.70,52.87,0.22,41.457793,-82.157541,170.5,3.1,
144,1.62,2.49,0.70,53.66,0.22,41.457794,-82.157536,170.5,3.1,
146,1.65,3.12,0.70,54.16,0.22,41.457794,-82.157532,170.7,3.1,
148,1.67,2.76,0.70,54.36,0.21,41.457794,-82.157528,170.8,3.1,
150,1.69,2.34,0.70,54.39,0.21,41.457795,-82.157524,170.9,3.1,
152,1.72,2.58,0.70,54.75,0.21,41.457795,-82.157520,171.0,3.1,
154,1.74,2.65,0.70,55.14,0.21,41.457796,-82.157516,170.9,3.1,
156,1.76,2.30,0.70,55.87,0.21,41.457796,-82.157512,171.0,3.1,
158,1.79,2.53,0.70,55.78,0.21,41.457796,-82.157508,171.0,3.5,
160,1.81,2.87,0.70,56.00,0.21,41.457797,-82.157503,171.0,3.5,
162,1.83,2.37,0.70,55.54,0.21,41.457798,-82.157499,170.9,3.5,
164,1.86,2.49,0.70,55.45,0.21,41.457798,-82.157495,170.9,3.5,
166,1.88,4.34,0.69,54.32,0.21,41.457798,-82.157490,171.1,3.5,
168,1.90,6.33,0.69,54.59,0.21,41.457798,-82.157485,171.2,3.1,
170,1.93,6.27,0.70,55.64,0.21,41.457798,-82.157481,171.4,3.1,
172,1.95,5.01,0.70,55.58,0.21,41.457798,-82.157476,171.6,3.1,
174,1.97,5.65,0.70,55.67,0.21,41.457799,-82.157470,171.8,3.1,
176,2.00,4.43,0.72,56.52,0.21,41.457800,-82.157464,171.7,3.1,
178,2.02,4.41,0.65,50.79,0.21,41.457801,-82.157459,171.7,3.1,
180,2.04,4.82,0.59,45.65,0.22,41.457801,-82.157454,171.6,3.1,
182,2.05,5.47,0.54,41.15,0.22,41.457800,-82.157448,171.6,3.1,
184,2.07,5.67,0.49,36.58,0.22,41.457799,-82.157443,171.5,3.1,
186,2.08,5.95,0.46,33.89,0.23,41.457798,-82.157439,171.4,3.1,
188,2.09,5.15,0.17,12.38,0.23,41.457797,-82.157434,171.4,3.1,
190,2.09,4.86,0.06,4.27,0.23,41.457797,-82.157429,171.8,3.1,l
192,2.09,4.67,0.02,1.39,0.24,41.457796,-82.157422,171.9,3.1,lm
194,2.09,4.64,0.01,0.68,0.25,41.457794,-82.157416,172.0,3.1,lm
4651,2.09,-0.09,0.00,0.00,0.06,41.461213,-82.164796,173.8,4.6,
4653,2.09,0.65,0.13,31.61,0.07,41.461210,-82.164794,174.1,4.6,
4655,2.09,3.33,0.04,10.20,0.07,41.461210,-82.164792,174.1,4.6,
4657,2.09,4.15,0.01,2.46,0.07,41.461210,-82.164792,174.0,4.6,
4659,2.09,3.93,0.00,0.00,0.07,41.461211,-82.164792,174.0,4.9,lm
