Serial Number,WF5141158
Sample ID,00059
Start Time,2023-09-18 19:41:47 UTC
Duration,0:10:55
Total Volume (l),4.99
Distance (m),293
Peak Pressure (psi),12.2
Avg Flow (l/min),0.6
Avg Rate (mL/m),17.4
Avg Speed (m/s),0.5


Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (±m),Status
0,0.00,0.21,0.00,0.00,1.05,42.129731,-80.125787,174.6,3.3,
2,0.00,0.37,0.00,0.00,0.93,42.129728,-80.125794,174.4,3.3,
4,0.00,0.38,0.01,0.21,0.81,42.129726,-80.125801,174.3,3.3,
6,0.00,0.58,0.01,0.24,0.70,42.129724,-80.125809,174.2,3.3,
8,0.00,0.48,0.01,0.28,0.60,42.129724,-80.125815,174.0,3.3,
10,0.00,0.78,0.01,0.33,0.50,42.129724,-80.125820,173.8,2.9,
12,0.00,1.06,0.00,0.00,0.41,42.129725,-80.125822,173.8,2.9,
14,0.00,1.45,0.00,0.00,0.33,42.129726,-80.125824,173.8,2.9,
16,0.00,3.49,0.01,0.59,0.28,42.129728,-80.125823,173.7,2.9,
18,0.00,4.20,0.00,0.00,0.26,42.129734,-80.125822,173.7,2.9,
20,0.00,3.99,0.00,0.00,0.26,42.129742,-80.125822,173.6,2.9,
22,0.00,6.38,0.02,1.24,0.27,42.129751,-80.125821,173.5,2.9,
24,0.03,6.88,0.51,28.96,0.29,42.129760,-80.125819,173.4,2.9,
26,0.07,6.10,0.94,50.05,0.31,42.129770,-80.125817,173.2,2.9,
28,0.10,2.31,0.94,44.97,0.35,42.129782,-80.125815,173.2,2.9,
30,0.12,3.09,0.75,31.87,0.39,42.129794,-80.125813,173.1,2.9,
32,0.14,3.18,0.75,28.58,0.44,42.129804,-80.125810,173.1,2.9,
34,0.17,2.91,0.70,24.15,0.48,42.129814,-80.125806,173.1,2.9,
36,0.19,3.44,0.72,22.75,0.53,42.129825,-80.125804,173.3,2.9,
38,0.21,2.73,0.70,21.02,0.56,42.129836,-80.125802,173.5,2.9,
40,0.24,3.40,0.69,20.30,0.57,42.129846,-80.125799,173.6,2.9,
42,0.26,2.64,0.72,21.10,0.57,42.129854,-80.125795,173.5,2.9,
44,0.28,3.36,0.68,19.51,0.58,42.129866,-80.125792,173.6,2.9,
46,0.31,2.88,0.71,20.32,0.58,42.129878,-80.125788,173.7,2.9,
49,0.33,3.05,0.70,20.51,0.57,42.129887,-80.125785,173.6,2.9,
51,0.35,3.07,0.70,20.71,0.56,42.129897,-80.125780,173.6,2.4,
53,0.38,3.29,0.69,20.13,0.57,42.129909,-80.125777,173.9,2.4,
55,0.40,3.15,0.71,20.72,0.57,42.129919,-80.125776,174.0,2.4,
57,0.42,2.88,0.70,20.37,0.57,42.129930,-80.125774,174.1,2.4,
59,0.45,3.19,0.70,20.80,0.56,42.129940,-80.125771,174.1,2.4,
61,0.47,2.99,0.70,20.92,0.56,42.129949,-80.125768,174.2,2.5,
63,0.49,3.71,0.68,19.94,0.57,42.129960,-80.125765,174.2,2.5,
65,0.52,2.88,0.71,20.81,0.57,42.129971,-80.125763,174.2,2.5,
67,0.54,3.36,0.70,20.53,0.57,42.129981,-80.125761,174.2,2.5,
69,0.56,3.25,0.70,20.58,0.57,42.129989,-80.125756,174.3,2.5,
71,0.59,3.45,0.70,20.94,0.56,42.129994,-80.125746,174.5,2.4,
73,0.61,3.45,0.71,21.43,0.55,42.129996,-80.125733,174.6,2.4,
75,0.63,3.51,0.69,20.25,0.57,42.129995,-80.125717,174.6,2.4,
77,0.66,2.87,0.71,20.66,0.57,42.129997,-80.125701,174.5,2.4,
79,0.68,3.57,0.69,19.19,0.60,42.130001,-80.125686,174.6,2.4,
81,0.70,3.29,0.70,18.08,0.65,42.130011,-80.125667,174.7,2.5,
83,0.73,3.36,0.71,17.11,0.69,42.130026,-80.125652,174.7,2.5,
85,0.75,3.05,0.70,16.07,0.73,42.130040,-80.125637,174.9,2.5,
87,0.77,3.31,0.70,15.71,0.74,42.130052,-80.125627,174.9,2.5,
89,0.80,3.24,0.70,15.46,0.75,42.130060,-80.125618,174.7,2.5,
91,0.82,3.79,0.69,14.58,0.79,42.130072,-80.125608,174.9,2.3,
93,0.84,3.33,0.70,14.50,0.80,42.130084,-80.125599,174.9,2.3,
95,0.87,3.07,0.71,14.57,0.81,42.130096,-80.125591,175.1,2.3,
97,0.89,3.82,0.69,14.17,0.81,42.130106,-80.125584,175.1,2.3,
99,0.91,3.35,0.70,14.73,0.79,42.130115,-80.125578,175.2,2.3,
101,0.94,3.52,0.70,15.31,0.76,42.130125,-80.125570,175.2,2.3,
103,0.96,3.04,0.71,16.32,0.73,42.130136,-80.125563,175.3,2.3,
105,0.99,3.64,0.69,16.78,0.69,42.130146,-80.125556,175.4,2.3,
107,1.01,3.22,0.71,17.72,0.67,42.130155,-80.125549,175.4,2.3,
109,1.03,3.63,0.69,17.55,0.66,42.130162,-80.125543,175.4,2.3,
